fleet,rego,model,vin,bodywork,livery,depot
125,7713AO,Scania K270IB,9BSK4X20003648089,"Irizar ""Century 3500""",B,Pakenham
126,7305AO,Scania K280IB,YS2K4X20001870859,"Higer ""A30""",B,Pakenham
127,7306AO,Scania K280IB,YS2K4X20001870868,"Higer ""A30""",B,Moorabbin
,,,,,,
129,7308AO,Scania K280IB,YS2K4X20001870763,"Higer ""A30""",B,Pakenham
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
136,0150AO,Scania L94UA,YS4L6X20001842515,"Volgren ""CR224L""",PTV,Dandenong
137,4751AO,Volvo B10BLE,YV3R4A5102A008360,"Volgren ""CR221L""",PTV,Dandenong
138,4736AO,Volvo B10BLE,YV3R4A5122A008361,"Volgren ""CR221L""",PTV,Seaford
139,4479AO,Volvo B10BLE,YV3R4A5142A008362,"Volgren ""CR221L""",PTV,Seaford
140,0458AO,Volvo B12BLE,YV3R8F8183A001851,"Volgren ""CR221L""",PTV,Dandenong
141,0492AO,Volvo B12BLE,YV3R8F81X3A001852,"Volgren ""CR221L""",PTV,Dandenong
,,,,,,
143,5257AO,Scania L94UA,YS4L6X20001842375,"Volgren ""CR224L""",PTV,Dandenong
144,4695AO,Volvo B12BLE,YV3R8F8133A013180,"Volgren ""CR228L""",PTV,Dandenong
145,4698AO,Volvo B12BLE,YV3R8F8143A012913,"Volgren ""CR228L""",PTV,Dandenong
146,4696AO,Volvo B12BLE,YV3R8F8153A013181,"Volgren ""CR228L""",PTV,Dandenong
147,4554AO,Volvo B12BLE,YV3R8F8123A002266,"Volgren ""CR221L""",PTV,Dandenong
148,4555AO,Volvo B12BLE,YV3R8F8133A002504,"Volgren ""CR221L""",PTV,Dandenong
149,4489AO,Volvo B12BLE,YV3R8F8123A013221,"Volgren ""CR228L""",PTV,Dandenong
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
179,4757AO,Mercedes Benz O405NH,WEB35743821086803,"Volgren ""CR221L""",,Pakenham
180,4758AO,Mercedes Benz O405NH,WEB35743821086805,"Volgren ""CR221L""",,Rail
,,,,,,
182,4780AO,Scania K124EB,YS4K6X20001831573,"Volgren ""C222TX""",,Dandenong
183,4781AO,Scania K124EB,YS4K6X20001833512,"Volgren ""C222TX""",,Croydon
,,,,,,
185,4783AO,Mercedes Benz O405NH,WEB35743821092279,"Volgren ""CR221L""",PTV,Rail
,,,,,,
187,4785AO,Mercedes Benz O405NH,WEB35743821094342,"Volgren ""CR221L""",PTV,Pakenham
,,,,,,
189,4787AO,Mercedes Benz OH1621,9BM382069XB206800,"Volgren ""SC221""",,Pakenham
