fleet,rego,model,vin,bodywork,livery,depot
510,4510AO,Mercedes Benz O405NH,WEB35743821095004,"Volgren ""CR221L""",PTV,Moorabbin
,,,,,,
,,,,,,
,,,,,,
514,4514AO,Mercedes Benz O405NH,WEB35743821094337,"Volgren ""CR221L""",PTV,Dandenong
,,,,,,
,,,,,,
517,4517AO,Mercedes Benz O405NH,WEB61241821097844,"Volgren ""CR221L""",PTV,Dandenong
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
529,4529AO,Mercedes Benz O405NH,WEB61241821099665,"Volgren ""CR221L""",PTV,Dandenong
,,,,,,
,,,,,,
,,,,,,
533,4533AO,Mercedes Benz O405NH,WEB35743821094135,"Volgren ""CR221L""",PTV,Moorabbin
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
541,4541AO,Mercedes Benz O405NH,WEB61241821097845,"Volgren ""CR221L""",PTV,Moorabbin
,,,,,,
,,,,,,
544,4544AO,Volvo B10M MkIV,YV31M2B14WX048225,"Volgren ""SC221""",,Moorabbin
,,,,,,
546,4546AO,Mercedes Benz O405NH,WEB35743821091979,Volgren,PTV,Rail
547,4547AO,Volvo B7R,YV3R6B5182A003603,"Volgren ""SC221""",,Croydon
548,4548AO,Mercedes Benz O405NH,WEB61241821099664,"Volgren ""CR221L""",PTV,Moorabbin
,,,,,,
550,4550AO,Mercedes Benz O405NH,WEB61241821099666,"Volgren ""CR221L""",PTV,Moorabbin
,,,,,,
552,4552AO,Mercedes Benz O405NH,WEB61241821097846,"Volgren ""CR221L""",PTV,Moorabbin
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
569,4513AO,Mercedes Benz O405NH,WEB61241821099667,"Volgren ""CR221L""",PTV,Moorabbin
570,4509AO,Mercedes Benz O405NH,WEB61241821099668,"Volgren ""CR221L""",PTV,Moorabbin
571,3499AO,Mercedes Benz O405NH,WEB61241821099670,"Volgren ""CR221L""",PTV,Moorabbin
572,3434AO,Mercedes Benz O405NH,WEB61241821099671,"Volgren ""CR221L""",PTV,Moorabbin
573,3498AO,Mercedes Benz O405NH,WEB61241821099669,"Volgren ""CR221L""",PTV,Moorabbin
574,4559AO,Volvo B12BLE,YV3R8F81X3A002516,"Volgren ""CR221L""",PTV,Moorabbin
575,4560AO,Volvo B12BLE,YV3R8F8113A002517,"Volgren ""CR221L""",PTV,Moorabbin
576,4561AO,Volvo B12BLE,YV3R8F8173A012680,"Volgren ""CR221L""",PTV,Moorabbin
577,4508AO,Volvo B12BLE,YV3R8F8123A012845,"Volgren ""CR228L""",PTV,Moorabbin
578,4551AO,Volvo B12BLE,YV3R8F8133A012899,"Volgren ""CR228L""",PTV,Moorabbin
579,4542AO,Mercedes Benz OH1725,9BM3821862B319828,"Volgren ""SC222""",,Moorabbin
580,4549AO,Mercedes Benz OH1725,9BM3821862B321068,"Volgren ""SC222""",,Moorabbin
581,4523AO,Volvo B12BLE,YV3R8F8114A015432,"Volgren ""CR228L""",PTV,Dandenong
582,4564AO,Volvo B12BLE,YV3R8F8134A015433,"Volgren ""CR228L""",PTV,Moorabbin
583,4540AO,Volvo B12BLE,YV3R8F8174A015435,"Volgren ""CR228L""",PTV,Moorabbin
584,5483AO,Volvo B12BLE,YV3R8F8154A015434,"Volgren ""CR228L""",PTV,Moorabbin
585,4553AO,Volvo B12BLE,YV3R8F8184A015573,"Volgren ""CR228L""",PTV,Dandenong
586,5982AO,Volvo B7R,YV3R6G8296A108674,"Volgren Malaysia ""SC222""",,Seaford
587,6061AO,Mercedes Benz O500LE,WEB63422021000315,"Volgren ""CR228L""",PTV,Pakenham
588,6136AO,Mercedes Benz O500LE,WEB63422021000408,"Volgren ""CR228L""",PTV,Seaford
589,5005AO,Mercedes Benz O500LE,WEB63422021000423,"Volgren Perth ""CR228L""",PTV,Seaford
590,6460AO,Mercedes Benz O500LE,WEB63422021000465,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
591,6462AO,Mercedes Benz O500LE,WEB63422021000466,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
592,6468AO,Mercedes Benz O500LE,WEB63422021000471,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
593,6275AO,Mitsubishi Rosa,JLFBE649J0BD01464,Mitsubishi,,Seaford
594,6918AO,Mercedes Benz O500LE,WEB63442021000011,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
595,6924AO,Mercedes Benz O500LE,WEB63442021000012,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
596,6928AO,Mercedes Benz O500LE,WEB63442021000001,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
597,6665AO,Fuso Rosa,JLFBE649J0BE00689,Fuso,,Knoxfield
598,6935AO,Volvo B7R,YV3R6K6248A124581,"Volgren Malaysia ""SC222""",,Moorabbin
599,6984AO,Mercedes Benz O500LE,WEB63442021000040,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
,,,,,,
,,,,,,
602,6973AO,Mercedes Benz O500LE,WEB63442021000047,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
603,6995AO,Mercedes Benz O500LE,WEB63442021000036,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
604,7318AO,Mercedes Benz O500LE,WEB63442021000037,"Volgren Malaysia ""CR228L""",PTV,Dandenong
605,6819AO,Volvo B7R,YV3R6C417WA000284,Autobus,,Moorabbin
606,1227AO,Volvo B7R,YV3R6C41X1A002796,Autobus,,Moorabbin
,,,,,,
,,,,,,
,,,,,,
610,7801AO,Volvo B7RLE,YV3R6R627AA138019,"Volgren Malaysia ""CR228L""",PTV,Dandenong
611,7800AO,Volvo B7RLE,YV3R6R623AA138020,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
626,7983AO,Volvo B10ML,YV31MGD15NA029565,Volgren,,Rosebud
627,7870AO,Volvo B7RLE,YV3R6R625AA139637,"Volgren Malaysia ""CR228L""",PTV,Pakenham
628,7935AO,Volvo B7RLE,YV3R6R621AA139814,"Volgren Malaysia ""CR228L""",PTV,Dandenong
629,7852AO,Volvo B7RLE,YV3R6R622AA138901,"Volgren Malaysia ""CR228L""",PTV,Dandenong
630,7840AO,Volvo B7RLE,YV3R6R62XAA139634,"Volgren Malaysia ""CR228L""",PTV,Seaford
631,7863AO,Volvo B7RLE,YV3R6R621AA139635,"Volgren Malaysia ""CR228L""",PTV,Dandenong
632,7862AO,Volvo B7RLE,YV3R6R623AA139636,"Volgren Malaysia ""CR228L""",PTV,Pakenham
633,7865AO,Volvo B7RLE,YV3R6R625AA139654,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
634,8070AO,Volvo B7R,YV3R6R628AA142497,"Volgren Malaysia ""SC222""",,Dandenong
635,8084AO,Volvo B7R,YV3R6R621AA142700,"Volgren Malaysia ""SC222""",,Moorabbin
636,8093AO,Volvo B7RLE,YV3R6R629BA143367,"Volgren Malaysia ""CR228L""",PTV,Dandenong
637,8108AO,Volvo B7R,YV3R6R627BA143612,"Volgren Malaysia ""SC222""",,Dandenong
638,8110AO,Volvo B7R,YV3R6R629BA143613,"Volgren Malaysia ""SC222""",,Hastings
639,8117AO,Volvo B7R,YV3R6R624BA143583,"Volgren Malaysia ""SC222""",,Hastings
640,8124AO,Volvo B7R,YV3R6R626BA143584,"Volgren Malaysia ""SC222""",,Seaford
641,8130AO,Volvo B7R,YV3R6R620BA143614,"Volgren Malaysia ""SC222""",,Hastings
642,8127AO,Volvo B7R,YV3R6R622BA143615,"Volgren Malaysia ""SC222""",,Rosebud
643,8112AO,Volvo B7RLE,YV3R6R62XBA144138,"Volgren Malaysia ""CR228L""",PTV,Dandenong
644,8081AO,Volvo B7RLE,YV3R6R628AA142869,"Volgren Malaysia ""CR228L""",PTV,Pakenham
645,8082AO,Volvo B7RLE,YV3R6R624AA142870,"Volgren Malaysia ""CR228L""",PTV,Pakenham
646,8086AO,Volvo B7RLE,YV3R6R629AA142718,"Volgren Malaysia ""CR228L""",PTV,Pakenham
647,8087AO,Volvo B7RLE,YV3R6R620AA142719,"Volgren Malaysia ""CR228L""",PTV,Pakenham
648,8092AO,Volvo B7RLE,YV3R6R626AA142868,"Volgren Malaysia ""CR228L""",PTV,Pakenham
649,8113AO,Volvo B7RLE,YV3R6R621BA144139,"Volgren Malaysia ""CR228L""",PTV,Dandenong
650,8114AO,Volvo B7RLE,YV3R6R628BA144140,"Volgren Malaysia ""CR228L""",PTV,Dandenong
651,8115AO,Volvo B7RLE,YV3R6R620BA144407,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
652,8137AO,Volvo B7RLE,YV3R6R622BA144408,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
653,8139AO,Volvo B7RLE,YV3R6R628BA145241,"Volgren Malaysia ""CR228L""",PTV,Dandenong
654,8140AO,Volvo B7RLE,YV3R6R625BA144984,"Volgren Malaysia ""CR228L""",PTV,Croydon
655,8206AO,Volvo B7R,YV3R6R624BA145978,"Volgren Malaysia ""SC222""",,Moorabbin
656,8146AO,Volvo B7R,YV3R6R628BA144462,"Volgren Malaysia ""SC222""",,Seaford
657,8147AO,Volvo B7R,YV3R6R62XBA144463,"Volgren Malaysia ""SC222""",,Rosebud
658,8155AO,Volvo B7R,YV3R6R621BA144464,"Volgren Malaysia ""SC222""",,Rosebud
659,8138AO,Volvo B7RLE,YV3R6R621BA144500,"Volgren Malaysia ""CR228L""",PTV,Seaford
660,8141AO,Volvo B7RLE,YV3R6R62XBA145242,"Volgren Malaysia ""CR228L""",PTV,Dandenong
,,,,,,
,,,,,,
,,,,,,
664,8226AO,Volvo B7RLE,YV3R6R625BA146606,"Volgren ""CR228L""",PTV,Dandenong
,,,,,,
666,8230AO,Volvo B7RLE,YV3R6R627BA146607,"Volgren ""CR228L""",PTV,Seaford
667,8231AO,Volvo B7RLE,YV3R6R629BA146608,"Volgren ""CR228L""",PTV,Seaford
668,8233AO,Volvo B7RLE,YV3R6R620BA146609,"Volgren ""CR228L""",PTV,Seaford
669,8235AO,Volvo B7RLE,YV3R6R627BA146610,"Volgren ""CR228L""",PTV,Dandenong
670,8236AO,Volvo B7RLE,YV3R6R621BA148983,"Volgren ""CR228L""",PTV,Dandenong
671,8470AO,Volvo B7R,YV3R6R62XCA151768,"Volgren Malaysia ""SC222""",,Pakenham
672,8471AO,Volvo B7R,YV3R6R621CA151769,"Volgren Malaysia ""SC222""",,Pakenham
673,8804AO,Volvo B7R,YV3R6R627CA151761,"Volgren Malaysia ""SC222""",,Pakenham
674,8805AO,Volvo B7R,YV3R6R621CA152906,"Volgren Malaysia ""SC222""",,Dandenong
675,8808AO,Volvo B7R,YV3R6R623CA152907,"Volgren Malaysia ""SC222""",,Pakenham
676,8824AO,Volvo B7R,YV3R6R625CA152908,"Volgren Malaysia ""SC222""",,Pakenham
677,8843AO,Volvo B7RLE,YV3R6R62XCA153116,"Volgren Malaysia ""CR228L""",PTV,Dandenong
678,8842AO,Volvo B7RLE,YV3R6R625CA153363,"Volgren Malaysia ""CR228L""",PTV,Dandenong
679,8845AO,Volvo B7RLE,YV3R6R621CA153683,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
680,9033AO,Volvo B7RLE,YV3R6R623CA153684,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
681,9274AO,Volvo B13R,YV3T2P420CA154221,"Volgren ""C222TX""",V/Line,Dandenong
682,9182AO,Volvo B13R,YV3T2P426CA153428,"Volgren ""C222TX""",V/Line,Dandenong
,,,,,,
,,,,,,
685,8847AO,Volvo B7R,YV3R6R623CA155239,"Volgren ""SC222""",,Hastings
686,9132AO,Volvo B7R,YV3R6R628CA156175,"Volgren ""SC222""",,Pakenham
687,9135AO,Volvo B7RLE,YV3R6R621CA156244,"Volgren ""CR228L""",PTV,Dandenong
688,9147AO,Volvo B7RLE,YV3R6R620CA157028,"Volgren ""CR228L""",PTV,Dandenong
689,9149AO,Volvo B7R,YV3R6R626CA156417,"Volgren ""SC222""",,Pakenham
690,9160AO,Volvo B7RLE,YV3R6R625CA157316,"Volgren ""CR228L""",PTV,Dandenong
691,9157AO,Volvo B7RLE,YV3R6R624CA157338,"Volgren ""CR228L""",PTV,Dandenong
692,9134AO,Volvo B7R,YV3R6R62XCA156677,"Volgren ""SC222""",,Pakenham
693,9179AO,Volvo B7RLE,YV3R6R629CA157383,"Volgren ""CR228L""",PTV,Dandenong
694,9170AO,Volvo B7RLE,YV3R6R62XCA157425,"Volgren ""CR228L""",PTV,Moorabbin
695,9154AO,Volvo B7R,YV3R6R627CA156846,"Volgren ""SC222""",,Pakenham
696,9250AO,Volvo B7RLE,YV3R6R629CA157593,"Volgren ""CR228L""",PTV,Moorabbin
697,9262AO,Volvo B7RLE,YV3R6R626CA157891,"Volgren ""CR228L""",PTV,Moorabbin
698,9165AO,Volvo B7R,YV3R6R625CA157137,"Volgren ""SC222""",,Hastings
699,9261AO,Volvo B7RLE,YV3R6R622CA157919,"Volgren ""CR228L""",PTV,Moorabbin
700,9183AO,Volvo B7R,YV3R6R627CA157138,"Volgren ""SC222""",,Rosebud
701,9184AO,Volvo B7R,YV3R6R620CA157420,"Volgren ""SC222""",,Moorabbin
702,9291AO,Volvo B7R,YV3R6R626CA155087,"Volgren Malaysia ""SC222""",,Dandenong
703,9292AO,Volvo B7R,YV3R6R624CA155086,"Volgren Malaysia ""SC222""",,Dandenong
704,9048AO,Volvo B7RLE,YV3R6R629CA156041,"Volgren ""CR228L""",PTV,Moorabbin
705,8625AO,Fuso Rosa,JLFBE64DJ0RG10554,Fuso,,Pakenham
706,8626AO,Fuso Rosa,JLFBE64DJ0RG10555,Fuso,,Seaford
707,9298AO,Hino RB8,JHFZU32H40K001159,UBC-Chiron,,Pakenham
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
715,1994AO,Transbus Dart SLF,SFD6CAFR33GW17250,"Volgren ""CR221L""",PTV,Knoxfield
716,2065AO,Transbus Dart SLF,SFD6CAFR33GW17249,"Volgren ""CR221L""",PTV,Lilydale
717,2458AO,Transbus Dart SLF,SFD6CAFR33GW17251,"Volgren ""CR221L""",PTV,Knoxfield
718,2459AO,Transbus Dart SLF,SFD6CAFR33GW17252,"Volgren ""CR221L""",PTV,Lilydale
719,2155AO,Dennis Dart SLF,SFD6C2CR31GW15988,Geelong Coachworks,PTV,Knoxfield
720,3584AO,Dennis Dart SLF,SFD6C2CR31GW15960,Geelong Coachworks,PTV,Lilydale
721,2162AO,Dennis Dart SLF,SFD6C2CR31GW15961,Geelong Coachworks,PTV,Knoxfield
722,2164AO,Dennis Dart SLF,SFD6C2CR31GW15959,Geelong Coachworks,PTV,Lilydale
,,,,,,
724,3587AO,Dennis Dart SLF,SFD1C2CR31GW16096,"Volgren ""CR221L""",PTV,Lilydale
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
730,2159AO,Scania L94UA,YS4L6X20001841000,"Volgren ""CR224L""",PTV,Lilydale
,,,,,,
732,3538AO,Scania L94UA,YS4L6X20001841859,"Volgren ""CR224L""",PTV,Lilydale
733,3585AO,Scania L94UA,YS4L6X20001841935,"Volgren ""CR224L""",PTV,Lilydale
734,3514AO,Scania L94UA,YS4L6X20001842063,"Volgren ""CR224L""",PTV,Lilydale
735,0055AO,Scania L94UA,YS4L6X20001842538,"Volgren ""CR224L""",PTV,Lilydale
736,6097AO,Designline CBS - Cummins,7A874010906007755,Designline (NZ),PTV,Lilydale
,,,,,,
,,,,,,
,,,,,,
740,5370AO,Transbus Dart SLF,SFD6CAFR43GW17565,"Volgren ""CR221L""",PTV,Lilydale
741,5371AO,Transbus Dart SLF,SFD6CAFR43GW17566,"Volgren ""CR221L""",PTV,Knoxfield
,,,,,,
,,,,,,
744,5624AO,Dennis Dart SLF,SFD6CAFR45GW18249,"Volgren ""CR221L""",PTV,Lilydale
745,5855AO,Dennis Dart SLF,SFD6CAFR45GW18250,"Volgren ""CR221L""",PTV,Knoxfield
746,6096AO,Designline CBS - Cummins,7A874010906007756,Designline (NZ),PTV,Lilydale
,,,,,,
,,,,,,
,,,,,,
750,6350AO,Scania K230UB,YS2K4X20001855186,"Volgren ""CR228L""",PTV,Knoxfield
751,6651AO,Scania K230UB,YS2K4X20001856693,"Volgren ""CR228L""",PTV,Oakleigh
752,6652AO,Scania K230UB,YS2K4X20001857420,"Volgren ""CR228L""",PTV,Oakleigh
753,6653AO,Scania K230UB,YS2K4X20001857922,"Volgren ""CR228L""",PTV,Oakleigh
754,6654AO,Scania K230UB,YS2K4X20001856747,"Volgren ""CR228L""",PTV,Oakleigh
,,,,,,
,,,,,,
,,,,,,
758,2675AO,Mercedes Benz O405NH,WEB61241821098730,"Custom Coaches ""CB60""",PTV,Croydon
759,5042AO,Mercedes Benz O500LE,WEB63422021000023,"NCBC ""Downtown City Bus""",PTV,Knoxfield
760,3747AO,Mercedes Benz O500LE,WEB63422021000022,"NCBC ""Downtown City Bus""",PTV,Knoxfield
761,5924AO,Scania L94UB,YS2L4X20001851886,"Volgren ""CR228L""",PTV,Knoxfield
,,,,,,
,,,,,,
,,,,,,
765,5950AO,Scania L94UB,YS2L4X20001851890,"Volgren ""CR228L""",PTV,Knoxfield
766,5951AO,Scania L94UB,YS2L4X20001851898,"Volgren ""CR228L""",PTV,Croydon
767,1956AO,Scania K230UB,YS2K4X20001858722,"Volgren ""CR228L""",PTV,Oakleigh
,,,,,,
,,,,,,
770,6370AO,Scania K230UB,YS2K4X20001855117,"Volgren ""CR228L""",PTV,Oakleigh
771,6371AO,Scania K230UB,YS2K4X20001855325,"Volgren ""CR228L""",PTV,Knoxfield
772,6372AO,Scania K230UB,YS2K4X20001855406,"Volgren ""CR228L""",PTV,Lilydale
773,6373AO,Scania K230UB,YS2K4X20001855408,"Volgren ""CR228L""",PTV,Oakleigh
774,6674AO,Scania K230UB,YS2K4X20001857902,"Volgren ""CR228L""",PTV,Oakleigh
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
784,3554AO,Scania L94UB,YS4L4X20001834852,"Volgren ""CR224L""",PTV,Moorabbin
785,3555AO,Scania L94UB,YS4L4X20001834854,"Volgren ""CR224L""",PTV,Moorabbin
786,3556AO,Scania L94UB,YS4L4X20001835080,"Volgren ""CR224L""",PTV,Lilydale
787,3557AO,Scania L94UB,YS4L4X20001835081,"Volgren ""CR224L""",PTV,Moorabbin
,,,,,,
789,3559AO,Scania L94UB,YS4L4X20001836327,"Custom Coaches ""CB60""",PTV,Oakleigh
790,3560AO,Scania L94UB,YS4L4X20001836329,"Custom Coaches ""CB60""",PTV,Oakleigh
791,3561AO,Scania L94UB,YS4L4X20001836352,"Custom Coaches ""CB60""",PTV,Oakleigh
792,3562AO,Scania L94UB,YS4L4X20001837582,"Custom Coaches ""CB60""",PTV,Oakleigh
793,3563AO,Scania L94UB,YS4L4X20001838154,"Custom Coaches ""CB60""",PTV,Oakleigh
794,3515AO,Scania L94UB,YS4L4X20001838930,"Custom Coaches ""CB60""",PTV,Oakleigh
795,3507AO,Scania L94UB,YS4L4X20001838984,"Custom Coaches ""CB60""",PTV,Oakleigh
796,1299AO,Scania L94UB,YS2L4X20001844553,"Volgren ""CR228L""",PTV,Oakleigh
797,5479AO,Scania L94UB,YS2L4X20001847968,"Volgren ""CR228L""",PTV,Croydon
798,5480AO,Scania L94UB,YS2L4X20001847978,"Volgren ""CR228L""",PTV,Croydon
799,5481AO,Scania L94UB,YS2L4X20001847988,"Volgren ""CR228L""",PTV,Croydon
,,,,,,
801,2600AO,Scania L113CRL,YS4LC4X2B01826080,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
802,2503AO,Scania L113CRL,YS4LC4X2B01826844,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
,,,,,,
,,,,,,
805,2510AO,Scania L113CRL,YS4LC4X2B01827950,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
806,2520AO,Scania L113CRL,YS4LC4X2B01827103,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
,,,,,,
,,,,,,
809,2601AO,Scania L113CRL,YS4LC4X2B01829172,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
810,2620AO,Scania L113CRL,YS4LC4X2B01829703,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
,,,,,,
812,2549AO,Scania L113CRL,YS4LC4X2B01827104,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
813,2561AO,Scania L113CRL,YS4LC4X2B01829171,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
814,2595AO,Scania L113CRL,YS4LC4X2B01827951,"Volgren ""CR221L""",Ventura Blue Stripes,Rail
,,,,,,
,,,,,,
,,,,,,
,,,,,,
819,2651AO,Scania L113CRL,YS4LC4X2B01831400,"NCBC ""Buddina""",PTV,Rail
820,2648AO,Scania L113CRL,YS4LC4X2B01831602,"NCBC ""Buddina""",PTV,Rail
,,,,,,
822,5148AO,Scania K94IB,YS4K4X20001843169,GCW,,Lilydale
823,4568AO,Scania K94IB,YS4K4X20001843408,"Volgren ""SC222""",,Lilydale
824,0994AO,Scania K94IB,YS2K4X20001843468,"Volgren ""SC222""",,Lilydale
825,4946AO,Scania K94IB,YS2K4X20001843413,"Volgren ""SC222""",,Lilydale
826,5251AO,Dennis Dart SLF,SFD1CAFR32GW16973,"Volgren ""CR221L""",PTV,Lilydale
827,7479AO,Scania K230UB,YS2K4X20001862462,"Volgren ""CR228L""",PTV,Oakleigh
828,7478AO,Scania K230UB,YS2K4X20001862434,"Volgren ""CR228L""",PTV,Oakleigh
829,7484AO,Scania K230UB,YS2K4X20001862753,"Volgren ""CR228L""",PTV,Oakleigh
830,7505AO,Scania K230UB,YS2K4X20001865497,"Volgren ""CR228L""",PTV,Oakleigh
831,7541AO,Scania K230UB,YS2K4X20001862499,"Volgren Malaysia ""CR228L""",PTV,Oakleigh
832,7626AO,Scania K230UB,YS2K4X20001862851,"Volgren Malaysia ""CR228L""",PTV,Oakleigh
833,7629AO,Scania K230UB,YS2K4X20001865168,"Volgren Malaysia ""CR228L""",PTV,Oakleigh
834,7631AO,Scania K230UB,YS2K4X20001865177,"Volgren Malaysia ""CR228L""",PTV,Oakleigh
835,7685AO,Scania K230UB,YS2K4X20001865684,"Volgren Malaysia ""CR228L""",PTV,Oakleigh
836,7464AO,Scania K230UB,YS2K4X20001861846,"Volgren ""CR228L""",PTV,Oakleigh
837,7691AO,Scania K230UB,YS2K4X20001865706,"Volgren Malaysia ""CR228L""",PTV,Oakleigh
838,7696AO,Scania K230UB,YS2K4X20001865712,"Volgren Malaysia ""CR228L""",PTV,Oakleigh
839,7727AO,Scania K230UB,YS2K4X20001865719,"Volgren Malaysia ""CR228L""",PTV,Oakleigh
840,7739AO,Scania K230UB,YS2K4X20001865921,"Volgren Malaysia ""CR228L""",PTV,Oakleigh
841,7805AO,Scania K230UB,YS2K4X20001866820,"Volgren Malaysia ""CR228L""",PTV,Oakleigh
842,7944AO,Scania N310UA,SZAN6X20001867463,"Volgren ""CR228L""",PTV,Lilydale
843,8165AO,Volvo B7RLE,YV3R6R626BA145075,"Volgren Malaysia ""CR228L""",PTV,Knoxfield
844,8166AO,Volvo B7RLE,YV3R6R624BA145267,"Volgren Malaysia ""CR228L""",PTV,Croydon
845,8167AO,Volvo B7RLE,YV3R6R626BA145268,"Volgren Malaysia ""CR228L""",PTV,Croydon
846,8168AO,Volvo B7RLE,YV3R6R622BA145493,"Volgren Malaysia ""CR228L""",PTV,Lilydale
847,8169AO,Volvo B7RLE,YV3R6R621BA145520,"Volgren Malaysia ""CR228L""",PTV,Lilydale
848,8204AO,Volvo B7R,YV3R6R622BA145977,"Volgren Malaysia ""SC222""",,Pakenham
849,8237AO,Volvo B7RLE,YV3R6R623BA148984,"Volgren ""CR228L""",PTV,Lilydale
850,8238AO,Volvo B7RLE,YV3R6R62XBA149002,"Volgren ""CR228L""",PTV,Lilydale
851,8239AO,Volvo B7RLE,YV3R6R621BA149003,"Volgren ""CR228L""",PTV,Knoxfield
852,9034AO,Volvo B7RLE,YV3R6R628CA153700,"Volgren Malaysia ""CR228L""",PTV,Lilydale
853,9035AO,Volvo B7RLE,YV3R6R629CA154015,"Volgren Malaysia ""CR228L""",PTV,Lilydale
854,9049AO,Volvo B7RLE,YV3R6R620CA156042,"Volgren ""CR228L""",PTV,Lilydale
855,9051AO,Volvo B7RLE,YV3R6R623CA156245,"Volgren ""CR228L""",PTV,Croydon
856,9050AO,Volvo B7RLE,YV3R6R625CA156246,"Volgren ""CR228L""",PTV,Croydon
857,9052AO,Volvo B7RLE,YV3R6R628CA156287,"Volgren ""CR228L""",PTV,Knoxfield
858,9123AO,Scania K280UB,YS2K4X20001875823,Designline,PTV,Knoxfield
859,9401AO,Hino FD240,JHDFD7JLMXXX10414,Express,,Dandenong
860,9393AO,Hino FD240,JHDFD7JLMXXX10381,Express,,Dandenong
861,9403AO,Hino FD240,JHDFD7JLMXXX10418,Express,,Dandenong
862,9404AO,Hino FD240,JHDFD7JLMXXX10429,Express,,Dandenong
863,9412AO,Hino FD240,JHDFD7JLMXXX10434,Express,,Dandenong
864,9394AO,Hino FD240,JHDFD7JLMXXX10408,Express,,Dandenong
865,9417AO,Hino FD240,JHDFD7JLMXXX10459,Express,,Dandenong
866,9297AO,Hino FD240,JHDFD7JLMXXX10380,Express,,Dandenong
867,9391AO,Hino FD240,JHDFD7JLMXXX10405,Express,,Dandenong
868,3998AO,Scania L94UB,YS2L4X20001844486,"NCBC ""Downtown City Bus""",PTV,Oakleigh
869,4369AO,Scania L94UB,YS2L4X20001844488,"NCBC ""Downtown City Bus""",PTV,Oakleigh
870,5565AO,Scania L94UB,YS2L4X20001848625,"Custom Coaches ""CB60 C-Max""",PTV,Croydon
871,5564AO,Scania L94UB,YS2L4X20001848603,"Custom Coaches ""CB60 C-Max""",PTV,Croydon
872,5566AO,Scania L94UB,YS2L4X20001848627,"Custom Coaches ""CB60 C-Max""",PTV,Croydon
873,5563AO,Scania L94UB,YS2L4X20001848595,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
874,5513AO,Scania L94UB,YS2L4X20001848177,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
875,5507AO,Scania L94UB,YS2L4X20001848128,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
876,5523AO,Scania L94UB,YS2L4X20001848207,"Custom Coaches ""CB60 C-Max""",PTV,Knoxfield
877,5560AO,Scania L94UB,YS2L4X20001848332,"Custom Coaches ""CB60 C-Max""",PTV,Oakleigh
878,5562AO,Scania L94UB,YS2L4X20001848623,"Custom Coaches ""CB60 C-Max""",PTV,Oakleigh
879,5517AO,Scania L94UB,YS2L4X20001848202,"Custom Coaches ""CB60 C-Max""",PTV,Oakleigh
880,5561AO,Scania L94UB,YS2L4X20001848303,"Custom Coaches ""CB60 C-Max""",PTV,Oakleigh
881,5488AO,Scania L94UB,YS2L4X20001848044,"Custom Coaches ""CB60 C-Max""",PTV,Oakleigh
882,5489AO,Scania L94UB,YS2L4X20001848054,"Custom Coaches ""CB60 C-Max""",PTV,Oakleigh
883,5625AO,Scania L94UB,YS2L4X20001849824,"Custom Coaches ""CB60 C-Max""",PTV,Oakleigh
